run_accession	fastq_ftp	fastq_bytes	fastq_md5	bam_ftp	bam_bytes	bam_md5	submitted_ftp	submitted_bytes	submitted_md5	sra_ftp	sra_bytes	sra_md5
ERR1419156	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/006/ERR1419156/ERR1419156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/006/ERR1419156/ERR1419156_2.fastq.gz	52246876306;51503539436	4e7ad353a77f62ee235c1fedad713e06;9b665b372841b3121114f5393e4d2cb7				ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419156/LP6005441-DNA_G08_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419156/LP6005441-DNA_G08_2.fastq.gz	49687256523;48939832639	5e358c4b14b8fe4ce8bef7c569b096f5;fcbcc73dbd115f8f33fc5a2fc7efac9d	ftp.sra.ebi.ac.uk/vol1/err/ERR141/006/ERR1419156	80584305846	8e89d65d23fe7548825d38fb8179c044
ERR1419157	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1419157/ERR1419157_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1419157/ERR1419157_2.fastq.gz	59602730007;58676201810	66a10292604fc40adb50f432fe7e77c6;5083e10c2ec08baa4ec664916f4edd30				ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419157/LP6005441-DNA_G09_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419157/LP6005441-DNA_G09_2.fastq.gz	56732034435;55812584570	bfd55b1f33ae022a861517853caa1cd5;1b2ed41df6e7163cd9ede3c582723282	ftp.sra.ebi.ac.uk/vol1/err/ERR141/007/ERR1419157	91430800019	d31dde408627c8415eb074dd84c631fc
ERR1419158	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/008/ERR1419158/ERR1419158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/008/ERR1419158/ERR1419158_2.fastq.gz	58496069541;57473260080	625ff5483b9d30c199606ff266b068b7;a4f56b4594392cb1d35fcaf2c576a6c3				ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419158/LP6005441-DNA_G10_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419158/LP6005441-DNA_G10_2.fastq.gz	55812080852;54800179161	ce311af3616d271163aeae8eaf55278d;e284b7535c7032639dc4052cc2e8c8e2	ftp.sra.ebi.ac.uk/vol1/err/ERR141/008/ERR1419158	89449561091	d5c8193c6c1ed4195e86e8c76dfd3656
ERR1419159	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/009/ERR1419159/ERR1419159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/009/ERR1419159/ERR1419159_2.fastq.gz	52697509667;52118595622	af8ac2e2acefaa1496351248e915fe50;a6c0df47cada71ce234105a1dd3e601c				ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419159/LP6005441-DNA_G11_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419159/LP6005441-DNA_G11_2.fastq.gz	50036206553;49459980048	0f568f5b4aadb0b83bee00781db34c1f;6ceeb36f393ac17a1ee8d159a337324c	ftp.sra.ebi.ac.uk/vol1/err/ERR141/009/ERR1419159	81771018857	105b0fd16f40956b18bdab1aa75aee6c
ERR1419164	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1419164/ERR1419164_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1419164/ERR1419164_2.fastq.gz	53351776480;52886248532	d195fa7edc01a6b0406cd8983d41332e;5aa7982f5870b056dc04fff198f514e3				ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419164/LP6005441-DNA_H06_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419164/LP6005441-DNA_H06_2.fastq.gz	50651090898;50193448425	b42d01f972af5aab527bbf0b4a57a822;1618c54f8030cddb93c56ec92f2780cf	ftp.sra.ebi.ac.uk/vol1/err/ERR141/004/ERR1419164	82753505593	f0b98dce213eaec0e5ba77a4b0fd4f2e
ERR1419168	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/008/ERR1419168/ERR1419168_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/008/ERR1419168/ERR1419168_2.fastq.gz	51780618463;51983886862	0f85f829d709ef742f4870ac6f799f3d;e25434310519d1d21f6e17fa8691fb50				ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419168/LP6005441-DNA_H10_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419168/LP6005441-DNA_H10_2.fastq.gz	49146729994;49343957275	19010815853fe272c80a25cea0c71340;ab4d6ca8824bf5d6fec845a0effe5a9d	ftp.sra.ebi.ac.uk/vol1/err/ERR141/008/ERR1419168	80929882020	0ce62fe02558edab18437ba7730aa8f2
ERR1419170	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1419170/ERR1419170_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1419170/ERR1419170_2.fastq.gz	57099265271;55989472075	60b50e02f74368ffb28c634087de6581;6d923511bd280e2906ec44e17e4c9068				ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419170/LP6005441-DNA_H12_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419170/LP6005441-DNA_H12_2.fastq.gz	54356864455;53248740224	280fb5efeebbf39562b8d39ab186793e;2ce49874c16686e64b6a2efd010c7daf	ftp.sra.ebi.ac.uk/vol1/err/ERR141/000/ERR1419170	87931237294	9f8afa626016f6c08d3ae591f004266c
ERR1419173	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1419173/ERR1419173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1419173/ERR1419173_2.fastq.gz	45224100680;44942246655	44ef6b1f7d9a7c7022cd5d4d82897d5c;132a5b68885bfa8e58afe308624e9610				ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419173/LP6005442-DNA_A04_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419173/LP6005442-DNA_A04_2.fastq.gz	42927210083;42649090821	860597b7b306b08a92fef8fb4e64b9cb;831fb9f4abe35d111465dca69f8a91bb	ftp.sra.ebi.ac.uk/vol1/err/ERR141/003/ERR1419173	70159231619	91ddab393780e084b62d932d321f43df
ERR1419174	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1419174/ERR1419174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1419174/ERR1419174_2.fastq.gz	52114797209;51965980193	259708bd80bd7c9d350f307cbf33ed20;dae8b78499306da1f79d3bab3d9cdd4e				ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419174/LP6005442-DNA_A08_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419174/LP6005442-DNA_A08_2.fastq.gz	49374214791;49221257145	2253c1595d5b6ecc9416b3c7d86ffb93;f3e40719314cc6806965d01aac7531b1	ftp.sra.ebi.ac.uk/vol1/err/ERR141/004/ERR1419174	81250094372	3cede839e56d0b58a7c2ca3d060206b2
ERR1419180	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1419180/ERR1419180_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1419180/ERR1419180_2.fastq.gz	48880239510;48787533852	1ac384f3429c6679483f85d32390ae2f;c4afc99a094dcc055d6b8fe8a94d7a63				ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419180/LP6005442-DNA_B03_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419180/LP6005442-DNA_B03_2.fastq.gz	46347824177;46256592596	7336a65077b1c9698f2f3cc128176713;951418b8e285d31c98116fcd4f7584fb	ftp.sra.ebi.ac.uk/vol1/err/ERR141/000/ERR1419180	76302951265	cd5efd6f80b43c5eff3aad223cca4079
ERR1419183	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1419183/ERR1419183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1419183/ERR1419183_2.fastq.gz	57400195784;56788881004	2fb17626b96c4d9a0490803e96977ce5;e57af78e356614052c89a8cb43d21dd8				ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419183/LP6005442-DNA_B10_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419183/LP6005442-DNA_B10_2.fastq.gz	54549407689;53938308128	c0c9056e55eec5d914de555462800ef6;7af020538aad793edc6431ca86cad18e	ftp.sra.ebi.ac.uk/vol1/err/ERR141/003/ERR1419183	88665696672	d21ffb70b50ba3d6cd955a037193f6f7
ERR1419185	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1419185/ERR1419185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1419185/ERR1419185_2.fastq.gz	46080678196;45383116002	a1f66445225f74b8b17ca4bf3e339250;43fbda3f8eb13f4a98a437de65a5bb1b				ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419185/LP6005442-DNA_B12_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419185/LP6005442-DNA_B12_2.fastq.gz	43781890733;43079480866	c924d7d509b7fe9067a387fb3e4922ee;e7aac92eb9ff51f1ec65b6ec5144086b	ftp.sra.ebi.ac.uk/vol1/err/ERR141/005/ERR1419185	71156361530	fa2249a350b3beb34d4aec1a9fab4846
ERR1419189	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/009/ERR1419189/ERR1419189_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/009/ERR1419189/ERR1419189_2.fastq.gz	50096997879;49390931259	226bab12bf914ce06aa8477f8e054ba7;42faad778955063312400570dad18649				ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419189/LP6005442-DNA_C11_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419189/LP6005442-DNA_C11_2.fastq.gz	47602752556;46892943534	7f507a4a4ba2929a6de97d4e39faf709;b2e9f3831dd7746a7196c9b4ff3ea5a9	ftp.sra.ebi.ac.uk/vol1/err/ERR141/009/ERR1419189	77480129975	e8e2c4ccbd37d1271694cc4132dd4b8c
ERR1419194	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1419194/ERR1419194_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1419194/ERR1419194_2.fastq.gz	55942939784;56442944848	3db606c2ef48077b2e99eceaf0dedb9b;5c7e19a0814b892cdacd5e5759af2a04				ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419194/LP6005442-DNA_D09_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419194/LP6005442-DNA_D09_2.fastq.gz	53148191962;53640680858	e29d6f5ccd428f8bf3fcde0b2dcaa094;81e6d9b820fafa81a69555a38f8c8339	ftp.sra.ebi.ac.uk/vol1/err/ERR141/004/ERR1419194	87492586307	fba78f83ca1ce317501c1dd0aacb661d
ERR1419195	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1419195/ERR1419195_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1419195/ERR1419195_2.fastq.gz	54513173727;53592917471	20f9b72abace59cd3b9276cd0ca20665;3bbe89cf244d9587ff3c8d5149d590ad				ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419195/LP6005442-DNA_D10_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR1419195/LP6005442-DNA_D10_2.fastq.gz	51869488480;50952428473	767745b3eccf75de40045deb1cdf0f5f;cdd2cc1cdfccd7f05bdb35ecbe109b6e	ftp.sra.ebi.ac.uk/vol1/err/ERR141/005/ERR1419195	83828044694	0290d462e3b8a72332c36824396c7f43
ERR1425293	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1425293/ERR1425293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/003/ERR1425293/ERR1425293_2.fastq.gz	62734942285;61548959855	521912b78e50836b6e8f4aa80364a1a8;f020e402a17ee418c1d40b797748f2ff				ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1425293/LP6007069-DNA_A01_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR1425293/LP6007069-DNA_A01_2.fastq.gz	59841130807;58647343311	cecf21fbfea559c4c5c2fdedad03e1f8;6b50d1b0066a7cfd619239bf91ecc722	ftp.sra.ebi.ac.uk/vol1/err/ERR142/003/ERR1425293	96615505561	ca394cebbb9ca53d75b0e4733cd0cd77
ERR1625859	ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/009/ERR1625859/ERR1625859_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR162/009/ERR1625859/ERR1625859_2.fastq.gz	48784577027;47992097353	1ee6fb8330bd15b874ccd03f36027bf0;7e196a19bf5a3a66b83fd37ba78f1cfc				ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1625859/LP6005442-DNA_C10_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR162/ERR1625859/LP6005442-DNA_C10_2.fastq.gz	46372039692;45588275714	7e911e976d00ffe04008bd3bbc3d109d;e68168bb8cae6e86a369427e75196bb2	ftp.sra.ebi.ac.uk/vol1/err/ERR162/009/ERR1625859	75149154678	7c03fd2ae51507f553f148bd1f4e58e8
