primary.id	data_type
platform	url
NA12892	assembly	verkko	s3://platinum-pedigree-data/assemblies/NA12892/verkko/1.3.1/assembly.haplotype2.fasta.fai
NA12892	assembly	verkko	s3://platinum-pedigree-data/assemblies/NA12892/verkko/1.3.1/assembly.unassigned.fasta
NA12892	assembly	verkko	s3://platinum-pedigree-data/assemblies/NA12892/verkko/1.3.1/assembly.unassigned.fasta.fai
NA12877	assembly	hifiasm	s3://platinum-pedigree-data/assemblies/NA12877/hifiasm_ont/0.19.5/K1463_2209.hifiasm.dip.hap1.p_ctg.gfa.fasta
NA12877	assembly	hifiasm	s3://platinum-pedigree-data/assemblies/NA12877/hifiasm_ont/0.19.5/K1463_2209.hifiasm.dip.hap1.p_ctg.gfa.fasta.fai
NA12877	assembly	hifiasm	s3://platinum-pedigree-data/assemblies/NA12877/hifiasm_ont/0.19.5/K1463_2209.hifiasm.dip.hap2.p_ctg.gfa.fasta
NA12877	assembly	hifiasm	s3://platinum-pedigree-data/assemblies/NA12877/hifiasm_ont/0.19.5/K1463_2209.hifiasm.dip.hap2.p_ctg.gfa.fasta.fai
NA12877	assembly	verkko	s3://platinum-pedigree-data/assemblies/NA12877/verkko/1.4.1/assembly.haplotype1.fasta
NA12877	assembly	verkko	s3://platinum-pedigree-data/assemblies/NA12877/verkko/1.4.1/assembly.haplotype1.fasta.fai
NA12877	assembly	verkko	s3://platinum-pedigree-data/assemblies/NA12877/verkko/1.4.1/assembly.haplotype2.fasta
NA12877	assembly	verkko	s3://platinum-pedigree-data/assemblies/NA12877/verkko/1.4.1/assembly.haplotype2.fasta.fai
NA12877	assembly	verkko	s3://platinum-pedigree-data/assemblies/NA12877/verkko/1.4.1/assembly.unassigned.fasta
NA12877	assembly	verkko	s3://platinum-pedigree-data/assemblies/NA12877/verkko/1.4.1/assembly.unassigned.fasta.fai
NA12878	assembly	hifiasm	s3://platinum-pedigree-data/assemblies/NA12878/hifiasm_ont/0.19.5-30d2ee0/K1463_2188.hifiasm.dip.hap1.p_ctg.gfa.fasta
NA12878	assembly	hifiasm	s3://platinum-pedigree-data/assemblies/NA12878/hifiasm_ont/0.19.5-30d2ee0/K1463_2188.hifiasm.dip.hap1.p_ctg.gfa.fasta.fai
NA12878	assembly	hifiasm	s3://platinum-pedigree-data/assemblies/NA12878/hifiasm_ont/0.19.5-30d2ee0/K1463_2188.hifiasm.dip.hap2.p_ctg.gfa.fasta
NA12878	assembly	hifiasm	s3://platinum-pedigree-data/assemblies/NA12878/hifiasm_ont/0.19.5-30d2ee0/K1463_2188.hifiasm.dip.hap2.p_ctg.gfa.fasta.fai
NA12878	assembly	verkko	s3://platinum-pedigree-data/assemblies/NA12878/verkko/1.3.1/assembly.haplotype1.fasta
NA12878	assembly	verkko	s3://platinum-pedigree-data/assemblies/NA12878/verkko/1.3.1/assembly.haplotype1.fasta.fai
NA12878	assembly	verkko	s3://platinum-pedigree-data/assemblies/NA12878/verkko/1.3.1/assembly.haplotype2.fasta
NA12878	assembly	verkko	s3://platinum-pedigree-data/assemblies/NA12878/verkko/1.3.1/assembly.haplotype2.fasta.fai
